Sprint / Category,Task ID,Task,Effort,Impact,Status
Sprint 1 - Technical & Crawlability,1,"Fix /games/ hub - enable SSR/SSG so all game links appear in HTML source (highest priority, blocks everything else)",8-16 hrs,High,Complete
Sprint 1 - Technical & Crawlability,2,"Add title, meta description, H1, and canonical tag to /games/ page",1 hr,High,Complete
Sprint 1 - Technical & Crawlability,3,"Create/verify robots.txt - allow Googlebot, Bingbot, GPTBot, ClaudeBot, PerplexityBot; reference sitemap",30 min,High,Complete
Sprint 1 - Technical & Crawlability,4,Request re-indexing of homepage and Rubik's page in Search Console (Google showing stale pre-fix content),30 min,High,Complete
Sprint 1 - Technical & Crawlability,5,Verify sitemap.xml includes all 7+ game pages and 8 sliding puzzle sub-pages,1 hr,Medium,Complete
Sprint 1 - Technical & Crawlability,6,Investigate empty 'Other games you will love' sections - likely template bug across 3+ pages,2-4 hrs,Medium,Complete
Sprint 1 - Technical & Crawlability,7,Add descriptive alt text to all game images,2 hrs,Medium,Complete
Sprint 2 - Schema & Structured Data,8,Add WebSite JSON-LD schema to homepage,30 min,High,Complete
Sprint 2 - Schema & Structured Data,9,Add FAQPage schema to homepage (4 Q&A pairs ready),30 min,High,Complete
Sprint 2 - Schema & Structured Data,10,Add FAQPage schema to Sudoku page,30 min,High,Complete
Sprint 2 - Schema & Structured Data,11,Add FAQPage schema to Rubik's Cube page,30 min,High,Complete
Sprint 2 - Schema & Structured Data,12,Add FAQPage schema to 2048 page,30 min,High,Complete
Sprint 2 - Schema & Structured Data,13,Add FAQPage schema to Sliding Puzzle page,30 min,High,Complete
Sprint 2 - Schema & Structured Data,14,Add SoftwareApplication schema to Rubik's Cube Timer page,30 min,Medium,Complete
Sprint 2 - Schema & Structured Data,15,Add BreadcrumbList schema template to all inner pages,1.5 hrs,Medium,Complete
Sprint 2 - Schema & Structured Data,16,Validate all schema blocks via Google Rich Results Test,1 hr,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",17,"Fix 2048 title tag (currently 30 chars, too short) -> 'Play 2048 Game Online Free - No Download | Mindhack.in'",30 min,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",18,Fix 2048 meta description capitalization typo ('COmbine') and missing comma,15 min,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",19,"Fix Flappy Bird title tag - remove '@' symbol, use standard separator",15 min,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",20,Fix Flappy Bird meta description typo ('succesfully'),15 min,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",21,"Roll out OG + Twitter Card tags to Sudoku, Rubik's, 2048, Sliding Puzzle, Flappy Bird (homepage already done - use as template)",2 hrs,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",22,Differentiate the 8 'Play now' anchors on Sliding Puzzle page by grid size ('Play 3x3 Sliding Puzzle' etc.),1 hr,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",23,Add unique title/meta to each of the 8 sliding puzzle sub-pages (3x3-10x10) if not already present,3 hrs,Medium,Complete
"Sprint 3 - On-Page Fixes (Tags, Anchors, OG)",24,Fix Rubik's H2 sentence fragment: 'Master Your Cubing Skills with MindHack.in's' - add ending,10 min,Low,Complete
Sprint 4 - E-E-A-T Foundational Pages,25,"Create About Us page (300+ words - team, mission, credentials)",3 hrs,High,Complete
Sprint 4 - E-E-A-T Foundational Pages,26,Create Privacy Policy page and link in footer,2 hrs,High,Backlog
Sprint 4 - E-E-A-T Foundational Pages,27,Create Terms of Service page and link in footer,1 hr,High,Backlog
Sprint 4 - E-E-A-T Foundational Pages,28,Create Contact page (email/form) and link in footer,1 hr,High,Backlog
Sprint 4 - E-E-A-T Foundational Pages,29,Add author bylines and publication/update dates to content pages,2 hrs,Medium,Backlog
Sprint 4 - E-E-A-T Foundational Pages,30,Add citations/links for 'studies show' claims on homepage and 2048 page,3 hrs,Medium,Backlog
"Sprint 5 - UX, Social Proof & Off-Page",31,"Add social proof element to homepage (player count, 'X games played today', testimonials)",2 hrs,Medium,Backlog
"Sprint 5 - UX, Social Proof & Off-Page",32,Add breadcrumb navigation (visual) to all inner pages,4 hrs,Medium,Backlog
"Sprint 5 - UX, Social Proof & Off-Page",33,Submit Rubik's timer to SpeedSolving.com forum and r/Cubers,2 hrs,High,Todo
"Sprint 5 - UX, Social Proof & Off-Page",34,"Submit site to gaming directories (Crazy Games, itch.io, Poki)",4 hrs,Medium,Backlog
"Sprint 5 - UX, Social Proof & Off-Page",35,Outreach to Indian ed-tech/gaming blogs for mentions/guest posts,Ongoing,High,Backlog
"Sprint 5 - UX, Social Proof & Off-Page",36,Set up monthly LLM visibility check (ask ChatGPT/Perplexity/Claude 'best free sudoku/rubiks timer site'),1 hr/mo,Medium,Backlog
Sprint 6 - Content Fixes & New Content,37,"Proofread & fix Rubik's Cube page body - 4 grammar errors ('sharp your evaluate mind', 'You solve time', 'is Connects with', 'sharp your mind')",1 hr,Medium,Complete
Sprint 6 - Content Fixes & New Content,38,"Proofread & rewrite Flappy Bird page body (5+ errors: 's modern game', 'touching then', 'result to game over', etc.)",2 hrs,Medium,Complete
Sprint 6 - Content Fixes & New Content,39,Fix/complete Flappy Bird's broken FAQ answer ('Is there any competition? -> No'),30 min,Medium,Complete
